stem,kind,wire_bytes,decoded_bytes,elapsed_seconds,attempts,http_status,worker,n_workers,runner_tag,hostname,platform,timestamp_utc
AF-0000000065782710,homodimer,85049,360810,0.6365,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065782939,homodimer,105443,453286,0.7059,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783103,homodimer,100922,435748,0.6853,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783312,homodimer,43975,175721,0.5294,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783410,homodimer,117840,510469,0.7287,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783541,homodimer,91790,393897,0.7209,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783644,homodimer,112796,487385,0.4955,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783741,homodimer,134476,586010,0.5637,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065783889,homodimer,93480,399357,0.6636,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065784646,homodimer,135295,599562,0.7725,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065784860,homodimer,134207,586682,0.8068,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065785089,homodimer,132817,587829,0.7912,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065785333,homodimer,112685,486277,0.7841,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065785952,homodimer,123235,538240,0.7292,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786358,homodimer,127702,558339,0.5505,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786499,homodimer,103701,448564,0.7907,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786598,homodimer,106038,458346,0.5012,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786698,homodimer,110655,476952,0.7293,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786797,homodimer,105677,456370,0.737,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786896,homodimer,107963,467251,0.7009,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065786995,homodimer,111289,479082,0.6198,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787093,homodimer,107123,459436,0.7459,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787192,homodimer,104244,447825,0.7816,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787289,homodimer,106099,455401,0.6897,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787387,homodimer,108739,466824,0.7373,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787486,homodimer,107068,459974,0.7281,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787586,homodimer,106422,457745,0.575,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787687,homodimer,74462,313113,0.6882,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787789,homodimer,75025,316712,0.6244,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065787939,homodimer,82040,346077,0.6406,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065788169,homodimer,83377,352885,0.6754,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065788562,homodimer,84164,358227,0.71,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065789348,homodimer,95770,412718,0.6071,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065789984,homodimer,136923,599124,0.5432,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065790301,homodimer,99771,432222,0.5303,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065790405,homodimer,102232,442310,0.5977,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065790613,homodimer,81634,345476,0.699,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065790855,homodimer,132756,578306,0.7784,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791010,homodimer,121435,526031,0.7575,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791168,homodimer,118683,514155,0.7366,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791326,homodimer,120472,522887,0.8248,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791485,homodimer,103987,448856,0.7609,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791613,homodimer,132736,580612,0.7376,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791714,homodimer,140479,614371,0.792,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065791813,homodimer,139192,609462,0.7938,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065793182,homodimer,203582,905263,0.9674,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065793627,homodimer,62604,260037,0.5024,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
AF-0000000065797856,homodimer,44258,178317,0.4861,1,-200,0,1,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:23+00:00
