dataset,window,byte_offset,n_rows,top_organism,top_organism_share,iptm_ge_0.8,authors_gate
heterodimer,29,361969133,632,39947,0.5649,0.0142,0.0142
heterodimer,30,374239273,600,3847,1.0,0.0033,0.0067
heterodimer,31,386509413,619,3847,0.8465,0.0032,0.0065
heterodimer,32,398779553,608,39947,1.0,0.0099,0.0115
heterodimer,33,411049693,610,3847,1.0,0.0148,0.0164
heterodimer,34,423319833,588,3847,1.0,0.0,0.0
heterodimer,35,435589973,611,3847,0.964,0.0016,0.0016
heterodimer,36,447860113,597,3847,0.9916,0.0,0.0
heterodimer,37,460130253,667,3702,0.6327,0.0015,0.0
heterodimer,38,472400394,670,3702,0.5507,0.0015,0.0045
heterodimer,39,484670534,645,10116,0.8713,0.0093,0.0264
heterodimer,40,496940674,644,3702,0.8137,0.0031,0.0016
heterodimer,41,509210814,638,3702,0.3715,0.0094,0.0266
heterodimer,42,521480954,631,3702,0.412,0.0238,0.0317
heterodimer,43,533751094,619,3847,0.7399,0.0016,0.0162
heterodimer,44,546021234,620,3847,0.5516,0.0016,0.0048
heterodimer,45,558291374,607,3847,1.0,0.0033,0.0066
heterodimer,46,570561514,611,3847,1.0,0.0,0.0
heterodimer,47,582831654,629,3702,0.9634,0.0143,0.0175
heterodimer,48,595101795,623,3847,0.5602,0.0048,0.0032
heterodimer,49,607371935,608,3847,1.0,0.0049,0.0115
heterodimer,50,619642075,645,3702,0.6155,0.0047,0.0078
heterodimer,51,631912215,634,10116,0.5599,0.0158,0.0221
heterodimer,52,644182355,627,3702,0.4737,0.0223,0.0191
heterodimer,53,656452495,630,3702,0.3984,0.027,0.0286
heterodimer,54,668722635,639,3702,0.4085,0.011,0.011
heterodimer,55,680992775,618,10116,0.5259,0.0081,0.0065
heterodimer,56,693262915,643,3702,0.4432,0.0047,0.0047
heterodimer,57,705533056,632,3702,0.6693,0.0032,0.0063
heterodimer,58,717803196,606,3847,1.0,0.0083,0.005
heterodimer,59,730073336,604,3847,1.0,0.0149,0.0083
heterodimer,60,742343476,609,3847,1.0,0.0049,0.0016
heterodimer,61,754613616,608,3847,1.0,0.0099,0.0049
heterodimer,62,766883756,627,3702,0.6061,0.0048,0.0048
heterodimer,63,779153896,646,3702,0.4241,0.0031,0.0031
heterodimer,64,791424036,620,10090,0.4065,0.0113,0.0177
heterodimer,65,803694176,624,3847,0.734,0.0208,0.0
heterodimer,66,815964316,602,3847,0.8106,0.0033,0.01
heterodimer,67,828234457,620,10116,0.7452,0.0081,0.0145
heterodimer,68,840504597,592,353153,0.8953,0.0034,0.0236
heterodimer,69,852774737,636,3702,1.0,0.0079,0.0063
heterodimer,70,865044877,602,3847,1.0,0.005,0.0033
heterodimer,71,877315017,608,3847,1.0,0.0049,0.0049
heterodimer,72,889585157,604,3847,1.0,0.0017,0.0
heterodimer,73,901855297,609,100816,0.5829,0.0066,0.0213
heterodimer,74,914125437,620,6279,0.6016,0.0016,0.0065
heterodimer,75,926395577,587,353153,0.9267,0.0051,0.0034
heterodimer,76,938665718,633,447093,0.4692,0.0,0.0032
heterodimer,77,950935858,615,1133849,0.4081,0.0114,0.0146
heterodimer,78,963205998,607,353153,0.43,0.0066,0.0066
heterodimer,79,975476138,603,36087,0.7828,0.0066,0.01
heterodimer,80,987746278,604,318479,0.851,0.0116,0.0182
heterodimer,81,1000016418,619,1133849,0.3473,0.0145,0.0258
heterodimer,82,1012286558,625,1391915,0.4832,0.0064,0.0032
heterodimer,83,1024556698,625,6282,0.592,0.0112,0.0112
heterodimer,84,1036826838,598,318479,0.6722,0.0134,0.0167
heterodimer,85,1049096978,607,1391915,0.4349,0.0033,0.0099
heterodimer,86,1061367119,591,318479,1.0,0.0034,0.0085
heterodimer,87,1073637259,618,6183,0.3366,0.0129,0.0129
heterodimer,88,1085907399,640,6248,0.7297,0.0063,0.0109
heterodimer,89,1098177539,621,5671,0.57,0.0097,0.0161
heterodimer,90,1110447679,617,1125630,0.637,0.0194,0.0276
heterodimer,91,1122717819,617,447093,0.5673,0.0113,0.0162
heterodimer,92,1134987959,618,1133849,0.4013,0.0113,0.0146
heterodimer,93,1147258099,620,5671,0.6613,0.0065,0.0161
heterodimer,94,1159528239,620,6183,0.4274,0.0065,0.0032
heterodimer,95,1171798380,616,36087,0.5097,0.0097,0.0081
heterodimer,96,1184068520,620,1391915,0.5097,0.0032,0.0097
heterodimer,97,1196338660,622,6282,0.5997,0.008,0.0096
heterodimer,98,1208608800,618,1442368,0.4531,0.0081,0.0065
heterodimer,99,1220878940,589,318479,0.9915,0.0068,0.0051
heterodimer,100,1233149080,609,502779,0.5304,0.0066,0.0066
heterodimer,101,1245419220,609,6279,0.4565,0.0049,0.0049
heterodimer,102,1257689360,632,447093,0.3497,0.0063,0.0047
heterodimer,103,1269959500,625,1133849,0.664,0.0112,0.0176
heterodimer,104,1282229640,607,353153,0.3493,0.028,0.0231
heterodimer,105,1294499781,592,353153,0.5338,0.0068,0.0051
heterodimer,106,1306769921,601,36087,0.6306,0.0067,0.01
heterodimer,107,1319040061,580,353153,0.8517,0.0103,0.0103
heterodimer,108,1331310201,621,5671,0.5378,0.0064,0.0032
heterodimer,109,1343580341,597,36087,0.7437,0.0168,0.0151
heterodimer,110,1355850481,638,6248,0.8448,0.0047,0.0047
heterodimer,111,1368120621,617,185431,0.5721,0.0065,0.0049
heterodimer,112,1380390761,576,353153,0.9531,0.0035,0.0
heterodimer,113,1392660901,592,318479,0.8125,0.0084,0.0
heterodimer,114,1404931042,594,36087,0.5488,0.0152,0.0101
heterodimer,115,1417201182,592,1442368,0.6182,0.0101,0.0135
heterodimer,116,1429471322,584,318479,0.9863,0.0051,0.0068
heterodimer,117,1441741462,589,353153,0.4907,0.0102,0.0068
heterodimer,118,1454011602,599,36087,0.7262,0.0033,0.0067
heterodimer,119,1466281742,616,1133849,0.5731,0.0032,0.0032
heterodimer,120,1478551882,624,6279,0.4872,0.024,0.0096
heterodimer,121,1490822022,624,6183,0.6795,0.0112,0.008
heterodimer,122,1503092162,602,353153,0.4468,0.0033,0.0033
heterodimer,123,1515362302,634,6248,0.8533,0.0079,0.0016
heterodimer,124,1527632443,587,318479,0.7394,0.0,0.0034
heterodimer,125,1539902583,581,1391915,0.9312,0.0034,0.0017
heterodimer,126,1552172723,621,6248,0.4106,0.0097,0.0016
heterodimer,127,1564442863,602,3847,0.7027,0.0133,0.0017
heterodimer,128,1576713003,615,10090,0.4081,0.0049,0.0163
heterodimer,129,1588983143,610,10090,0.2705,0.0082,0.0066
heterodimer,130,1601253283,625,10090,0.432,0.008,0.0096
heterodimer,131,1613523423,618,3847,0.3819,0.0016,0.0032
heterodimer,132,1625793563,621,3702,0.3623,0.0129,0.0081
