protein_hash,n_res_metric,contact_ratio,plddt_std
09b8e8003ca6791cd7e3e929ddd277d2,159,0.5786163522012578,0.16193754292633372
09b8e88efc303d1c1a916d3e1b6601d8,159,0.7735849056603774,0.12612624474089554
09b8e8c9f6ca11f779b7311a893fd96e,163,0.6871165644171779,0.20044508712429826
09b8e8d29689bc064deb6e4ba48db001,164,0.6463414634146342,0.22837725305666975
09b8e985197492be7370dbc70230152c,159,0.3018867924528302,0.11183501150316304
09b8ea01eecfc8425e52969ccd25397b,164,0.8170731707317073,0.11447002832965913
09b8ea0b16b37208e3d4b2a8496c2247,161,0.6024844720496895,0.08625863362259732
09b8eba7c8edbc582879d690f60bb16f,162,0.7037037037037037,0.08319327293007463
09b8ebdcb608d4ce3e52349ba99e7a02,161,0.6086956521739131,0.1905381339550076
09b8ec02167f61ab374db6003ab979ba,160,0.6125,0.085621598636989
09b8ed4ea8d9729efdfa99ea42c794ba,160,0.1625,0.10541793724229612
09b8ed9b18064f2d332272e495703d2f,163,0.7423312883435583,0.0973291720032956
09b8eedf5cc6e7223c16a8999566ef78,159,0.31446540880503143,0.12399908077750432
09b8eef5450d31f1568f47346e23a7d5,161,0.055900621118012424,0.0643199818455224
09b8ef5e3f6a72b92b25a39eef00f7e7,163,0.6073619631901841,0.10934495822411795
09b8efb25d63c8b1c9d7493ea22c1607,161,0.6086956521739131,0.14403246086754415
09b8efef883485af7daf9f85490d1879,163,0.6871165644171779,0.19148125731057702
09b8f11ef2a1bd0ae1d22c6ca14199fd,163,0.43558282208588955,0.12937203723177812
09b8f14a211bebfd6c98d06a9decb861,160,0.65,0.06915218402745986
09b8f2241d1397e414b1d57cf829dc83,160,0.40625,0.07105583788978562
09b8f4f4fbad1777e0c4590d1c84ce6c,160,0.775,0.17429440713699534
09b8f5bbd7c13d1bd81328e6139a329d,163,0.6932515337423313,0.04897795681517882
09b8f5bbe3cf3b08afd191b64446d809,159,0.389937106918239,0.1971010079577797
09b8f7e3bee62c26b279de618be24424,163,0.7055214723926381,0.04106842998065736
09b8f8028878e75ce55ce83b78bd7bea,164,0.5792682926829268,0.07220153561956902
09b8f946060c8c7375bc17ab5e8c3026,160,0.39375,0.2085522172020584
09b8f973e63766fd0fdc2ef2e16d20ac,160,0.625,0.05140512761719703
09b8fad88581863b19d6e7e17598fe17,160,0.49375,0.18237934050983512
09b900c4b96897a8e65c5fb2c87016d9,164,0.3048780487804878,0.13593394628823108
09b901896001ba40571441fe5f377e38,161,0.7577639751552795,0.04976260637616513
09b902070229df8f4ec81494d53de135,161,0.2981366459627329,0.09625774012469278
09b902fef0c57cfd8a0f8b0471dd6188,159,0.37735849056603776,0.10523866232399978
09b903537e06f1127a713633f87c4990,161,0.6459627329192547,0.10721350926636984
09b904807674befdf253d3f1ba15a2c4,160,0.0125,0.11871948092741483
09b904aa2e99f8cfe848ed8d4c613490,161,0.6583850931677019,0.12870346733623955
09b90553c54bf8e10936f41a65fd1c93,160,0.7875,0.0413413036862286
09b9060d3067613456d20ed8b41de1cb,164,0.012195121951219513,0.11343179365290199
09b9060d53d90c373600e4ce19e3bdcc,162,0.4012345679012346,0.1247410824837982
09b90666f47ef6960f4ee5ff92f0a925,163,0.6503067484662577,0.05909814424890675
09b90681c39405707bfe4ee8c4e22887,160,0.39375,0.17863188716015427
09b906b93934f539f4cd1a03fbe815d2,159,0.6918238993710691,0.1699249586393211
09b908ba875d6bab3f929acdf9fc282a,162,0.4012345679012346,0.03352014389004096
09b909948046997a7aef17b425ba1700,162,0.4012345679012346,0.07798753598424427
09b909d77e74b9e24a21a583f40f6318,158,0.2468354430379747,0.07566595416443889
09b909d84f672ced9f6dcb553321cf1a,158,0.41139240506329117,0.1531155774780759
09b90a73e8704e8706a6fe5c6c047e3a,160,0.78125,0.12550731525712566
09b90ab23ebdde24784cf393f3dedecd,160,0.7375,0.12462905309214695
09b90c353665f264808538f2a69f0be3,163,0.6871165644171779,0.17894901979030017
09b90ccdc3bab2f0e812958caeed501b,160,0.8375,0.06491225891876672
09b90e0d247b8db69ce0b45bc8292a5c,162,0.5987654320987654,0.11565860359429023
09b90f6bda6d673dc5006b13eceb20f8,160,0.575,0.17323219930323697
09b90f6fc0a78a151a1e7fbeac04e110,160,0.675,0.20153924959802275
09b90f9c25015cdedc641d8c3cfd6760,160,0.0,0.10757539834707608
09b90fcab5f501b29bea931a3908ac5f,158,0.24050632911392406,0.0731271879692868
