protein_hash,seq_len,n_res,n_present_atoms,n_chains,is_monomer,mean_plddt,ptm,blob_bytes
09b8deb28b33b6593afd3fc2579d94d2,163,163,1330,1,True,0.7117819786071777,0.531222403049469,10616
09b8e8c9f6ca11f779b7311a893fd96e,163,163,1266,1,True,0.7874030470848083,0.7904462814331055,10437
09b8ed9b18064f2d332272e495703d2f,163,163,1328,1,True,0.3765438497066498,0.3024234473705292,10869
09b8ef5e3f6a72b92b25a39eef00f7e7,163,163,1288,1,True,0.7484835982322693,0.5076195001602173,10437
09b8efef883485af7daf9f85490d1879,163,163,1267,1,True,0.753631591796875,0.7326195240020752,10497
09b8f11ef2a1bd0ae1d22c6ca14199fd,163,163,1205,1,True,0.6665495038032532,0.5118419528007507,9621
09b8f5bbd7c13d1bd81328e6139a329d,163,163,1318,1,True,0.32985490560531616,0.17438781261444092,10680
09b8f7e3bee62c26b279de618be24424,163,163,1275,1,True,0.9073460102081299,0.8832020163536072,10392
09b90666f47ef6960f4ee5ff92f0a925,163,163,1272,1,True,0.30902495980262756,0.09940454363822937,10196
09b90c353665f264808538f2a69f0be3,163,163,1261,1,True,0.8336467146873474,0.8099592924118042,10382
09b913de9222e941cbd5b44435564bd4,163,163,1312,1,True,0.29484614729881287,0.13645359873771667,10721
09b9187fbee987657d0b49fe7a4c24e8,163,163,1282,1,True,0.8115595579147339,0.7891280651092529,10311
09b918818fb2839f1f73c7cc717e0c8c,163,163,1247,1,True,0.7338626980781555,0.6293514370918274,10271
09b91d9d9e07db81feb473296aea5986,163,163,1309,1,True,0.359983891248703,0.1463201493024826,10658
09b92312fe0c42f752cbb15167cd2ef3,163,163,1305,1,True,0.8971158862113953,0.794836699962616,10539
09b926142114b9ead8e135df48db8ae6,163,163,1212,1,True,0.46819955110549927,0.46141207218170166,10019
09b92654d48af40120bb2f78f0981e28,163,163,1296,1,True,0.6053934097290039,0.413465678691864,10512
09b92b5f5e67c05af0b6f9436a44334c,163,163,1347,1,True,0.504029393196106,0.23746325075626373,10954
09b92d4169cdf502899e0f7662ae0b26,163,163,1267,1,True,0.8096089959144592,0.8111342191696167,10373
09b93492707e0d58bd0a0843f0e2d4f3,163,163,1250,1,True,0.804336428642273,0.7330385446548462,10171
09b935fbb2588092ba849039971003e0,163,163,1295,1,True,0.4608820378780365,0.236928790807724,10599
09b93601828fcc0924f8ef1eb0fef6b5,163,163,1300,1,True,0.5277979373931885,0.3801465630531311,10670
09b937275092be8493e78a7429de439f,163,163,1280,1,True,0.5314087867736816,0.1947348564863205,10272
09b8a2ae5182171ce320e2234c1812ed,164,164,1335,1,True,0.40066611766815186,0.2969132661819458,10928
09b8a72c154ee9441ccdfd11e71eded6,164,164,1292,1,True,0.29774224758148193,0.20268094539642334,10523
09b8ab35a1b62cfa44e88bbd6f4891e4,164,164,1275,1,True,0.8693998456001282,0.7150577902793884,10347
09b8adc12bfc91b18b010321d9aa91c8,164,164,1282,1,True,0.5969271659851074,0.332182914018631,10391
09b8aef2f856078dbaf767080abb48e0,164,164,1243,1,True,0.7325053215026855,0.5541073083877563,9974
09b8b3628ee12eb223bb5fd391fce9b2,164,164,1350,1,True,0.8107296228408813,0.7877727150917053,10899
09b8b4f6487f963c65b4be8b48238092,164,164,1317,1,True,0.7423359155654907,0.6052213907241821,10641
09b8b953d7a55a9f4ed12477ab0b5e9f,164,164,1251,1,True,0.7319459915161133,0.684241533279419,10215
09b8ba8a87d8cda887b5e8de483798c6,164,164,1339,1,True,0.8586392998695374,0.8349866271018982,10708
09b8bcf5d31cf165c83b0c3012d4f7a9,164,164,1318,1,True,0.38361862301826477,0.11229405552148819,10635
09b8cab9133166ace31909df41151ab4,164,164,1341,1,True,0.8995084166526794,0.8925185203552246,10756
09b8d256622593177a539d1e0ab65540,164,164,1352,1,True,0.4631021022796631,0.3158893287181854,11061
09b8da66058f315c2e84b2e0bf35ec76,164,164,1359,1,True,0.817798912525177,0.8137099146842957,10936
09b8de9fb75f8497d20427f2fb47271a,164,164,1337,1,True,0.7038573026657104,0.44772621989250183,10859
09b8e52237207c425f8c2f19f881e94f,164,164,1329,1,True,0.9137639999389648,0.9152155518531799,10622
09b8e7e31993f748ff88ed9e5e3c1c7b,164,164,1283,1,True,0.7705600261688232,0.7233489751815796,10465
09b8e8d29689bc064deb6e4ba48db001,164,164,1340,1,True,0.6919980645179749,0.7022026181221008,10960
09b8ea01eecfc8425e52969ccd25397b,164,164,1222,1,True,0.9256993532180786,0.9220207333564758,9935
09b8f8028878e75ce55ce83b78bd7bea,164,164,1338,1,True,0.3826174736022949,0.19112972915172577,10804
09b900c4b96897a8e65c5fb2c87016d9,164,164,1250,1,True,0.5341615676879883,0.41209402680397034,10123
09b9060d3067613456d20ed8b41de1cb,164,164,1247,1,True,0.5420105457305908,0.2511029541492462,9895
09b911144504e4c3ca423d0610567e1f,164,164,1407,1,True,0.5346526503562927,0.28536269068717957,11291
09b912e9daa3c9316092d3c64de227f3,164,164,1326,1,True,0.33352670073509216,0.14267568290233612,10734
09b91a1dd3ce82b63ab2e49185dd8504,164,164,1206,1,True,0.7077528834342957,0.6364363431930542,9833
09b91d7960223a4903d06122b50d7818,164,164,1274,1,True,0.4665737748146057,0.17059937119483948,10309
09b930bceffa6f18264590b075aa0e04,164,164,1319,1,True,0.5082271099090576,0.3038485646247864,10556
09b935a89059484b0e7c7d2687088380,164,164,1238,1,True,0.4700174927711487,0.16249099373817444,9921
